marital,family,ses,cig1,gender,age
1,1,1.684,1,0,15.31
1,1,1.684,1,1,12.61
1,1,1.684,1,1,40
1,1,1.684,2,0,40
0,1,-0.724,1,1,11.14
0,2,-1.088,5,1,15.73
0,2,-1.088,2,1,33
0,1,-0.731,3,1,13.75
1,1,0.756,5,0,15.64
1,1,1.418,2,0,14.06
1,1,1.418,2,0,25.11
1,1,1.418,3,0,43
0,1,-0.941,1,0,15.82
0,1,-0.941,5,1,49
0,1,-0.808,1,1,15.08
0,1,-0.479,1,1,11.97
0,1,-0.479,4,1,41
0,1,-0.773,3,1,14.07
0,1,-0.773,5,1,34
1,1,0.183,1,0,13.81
1,1,0.183,1,1,31
1,1,0.183,4,0,34
0,1,-0.948,5,1,14.93
0,1,-0.948,5,0,16.08
0,1,-0.948,2,1,37
1,2,0.589,5,1,15.24
1,2,0.589,1,1,39
1,2,0.616,1,1,12.68
1,2,0.616,4,1,27
1,2,0.616,5,0,33
1,2,-0.288,3,0,25.11
0,1,-0.863,1,1,15.06
0,1,-0.863,1,1,13.08
0,1,-0.863,5,1,34
0,1,-0.661,3,0,14.95
0,1,-0.913,5,1,14.83
0,1,-0.913,5,1,11.59
0,1,-0.913,1,1,38
1,1,1.121,1,0,16.17
0,1,-0.836,1,1,14.28
0,1,-0.836,1,0,11.31
0,1,-0.836,5,1,35
0,2,0.624,5,1,36
0,1,-0.808,1,0,12.96
0,1,-0.808,3,1,35
1,2,0.946,2,1,12.79
1,2,0.946,1,1,27
1,2,0.946,3,0,34
1,1,0.988,2,0,11.01
1,1,0.988,1,1,35
0,2,-0.049,2,1,12.71
0,2,-0.049,2,0,38
1,1,1.128,2,0,13.28
1,1,1.128,1,1,34
0,1,-1.088,5,1,15.15
0,1,-1.088,5,1,18.02
0,2,0.746,2,1,11.52
0,2,0.746,5,0,30
1,1,1.544,5,0,15.66
1,1,1.544,5,1,13.35
1,1,1.544,1,1,42
1,1,1.544,2,0,45
0,1,-0.661,2,0,15.19
0,1,-0.661,2,0,13.02
0,1,-0.661,2,1,43
1,1,0.546,2,0,12.79
1,1,0.546,4,1,34
1,1,0.546,1,0,38
0,1,-0.871,2,1,12.66
0,1,-0.871,2,1,16.27
0,1,-0.871,2,0,17.77
0,1,-0.871,2,1,39
1,2,0.954,5,0,14.71
1,2,0.954,5,1,11.82
1,2,0.954,1,1,34
1,2,0.954,1,0,44
1,1,0.336,2,0,11.24
1,1,0.336,1,1,39
1,1,0.336,5,0,39
